Symbol,Name Arabic,Current Price (EGP),Change %,Fair Value (EGP),Fair Value Upside %,Signal,RSI (14),SMA20,SMA50,Support (EGP),Resistance (EGP),Entry Zone Min (EGP),Entry Zone Max (EGP),Target 1 (EGP),Target 2 - Fair Value (EGP),Stop Loss (EGP),Sharia Status,Last Update Time
VERT,"فرتيكا للصناعة والتجارة",7.43,-3.13,6.32,-14.94,NEUTRAL,41.44,7.96,7.48,2.58,11.42,7.22,7.64,8.27,8.69,6.8,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
RMDA,"العاشر من رمضان - راميدا",5.28,1.15,4.49,-14.96,NEUTRAL,64.26,5.05,5.06,3.74,6.1,5.21,5.35,5.54,5.67,5.08,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
FNAR,"الفنار للمقاولات العمومية والإنشاءات والتجارة والاستيراد والتصدير",13.03,-0.31,11.08,-14.97,NEUTRAL,59.28,12.79,11.56,5.95,17.46,12.78,13.28,14.03,14.53,12.28,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
EGAL,"مصر للألومنيوم",296.19,-0.6,251.76,-15,NEUTRAL,46.47,297.94,305.78,183.13,377.12,293.11,299.27,308.51,314.67,286.95,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
JUFO,"جهينة للصناعات الغذائية",28.67,-0.17,24.37,-15,NEUTRAL,39.7,29.77,29.68,21.86,33.89,28.31,29.03,30.11,30.83,27.59,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
OBRI,"العبور للأستثمار العقارى",32.4,-4.42,27.54,-15,NEUTRAL,34.85,35.57,35.37,13.12,48.71,31.69,33.11,35.24,36.66,30.27,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
NIPH,"النيل للادوية والصناعات الكيماوية - النيل",224,-0.44,190.4,-15,NEUTRAL,69.82,201.21,178.52,86.03,301.99,218.88,229.12,244.46,254.69,208.66,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
EALR,"العربية لاستصلاح الاراضي",391.98,6.82,333.18,-15,NEUTRAL,64.96,366.2,360.78,138.99,595.99,382.1,401.86,431.5,451.26,362.34,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
DOMT,"الصناعات الغذائية العربية",26.5,-0.11,22.52,-15.02,NEUTRAL,48.7,26.87,26.08,21.46,29.68,26.23,26.77,27.58,28.12,25.69,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
CERA,"العربية للخزف سيراميكا -ريماس",1.26,-3.08,1.07,-15.08,NEUTRAL,44.21,1.31,1.24,0.97,1.5,1.24,1.28,1.34,1.38,1.2,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
KRDI,"نهر الخير للتنمية والأستثمار الزراعى والخدمات البيئية",0.38,-4.55,0.32,-15.79,NEUTRAL,52.65,0.37,0.36,0.31,0.44,0.38,0.39,0.4,0.41,0.36,Halal - Sharia Compliant,٣٠‏/٧‏/٢٠٢٦، ٦:٣٨:٤٢ م
